Country,Age,Gender,Education_Level,Income_Quintile,Employment_Status,Urbanicity,Has_Account,Has_Financial_Account,Has_Mobile_Account,Received_Transfers,Owns_Mobile,Has_Internet_Access,Made_Digital_Payment,Paid_Merchant_Digitally
Kenya,25.0,2,1,5,1,1,1,1,1,4,1,1,1,1
Kenya,20.0,1,2,2,1,1,1,1,1,4,2,2,1,0
Kenya,25.0,2,2,5,1,2,1,1,1,4,1,2,1,1
Kenya,20.0,2,2,3,1,1,1,0,1,4,1,1,1,1
Kenya,27.0,2,2,4,1,1,1,0,1,4,1,1,1,1
Kenya,20.0,1,1,4,1,2,0,0,0,2,2,2,0,0
Kenya,21.0,1,2,4,1,1,1,1,0,4,1,1,1,0
Kenya,28.0,2,2,5,1,2,1,1,1,4,1,2,1,1
Kenya,18.0,1,2,4,2,2,0,0,0,4,2,2,0,0
Kenya,66.0,1,1,3,2,1,1,1,0,4,1,2,0,0
Kenya,27.0,2,1,2,1,1,0,0,0,4,2,2,0,0
Kenya,30.0,1,3,5,1,2,1,1,1,4,1,1,1,1
Kenya,27.0,2,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,26.0,2,1,3,1,2,1,0,1,4,1,2,1,1
Kenya,39.0,2,3,4,1,2,1,1,1,1,1,1,1,1
Kenya,38.0,1,2,3,1,2,1,0,1,4,1,2,1,1
Kenya,42.0,2,2,3,1,1,1,0,1,4,1,2,1,0
Kenya,37.0,2,1,4,1,1,1,1,1,4,1,2,1,1
Kenya,29.0,1,2,4,1,1,1,1,1,4,1,1,1,1
Kenya,22.0,1,3,4,1,2,1,1,0,4,1,1,1,1
Kenya,75.0,2,1,2,2,1,1,0,1,1,1,2,1,0
Kenya,33.0,2,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,33.0,1,1,1,1,1,0,0,0,4,1,2,0,0
Kenya,27.0,1,1,1,1,1,0,0,0,4,1,1,0,0
Kenya,57.0,2,2,1,2,1,0,0,0,4,1,2,0,0
