"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Kenya","KEN",206979305,0.91039966224899,2,29,2,2,1,2,1,1,1,2,2,1,2,,1,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,2,2,,,,2,2,2,2,2,1,2,,3,2,2,2,,,,2,,,,1,2,1,3,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,1,1,1,3,1,2,,0,1,1,4,4,4,1,5,1,1,1,1
"Kenya","KEN",138127866,2.7288714652921,1,57,2,3,1,2,1,1,0,1,2,2,,,1,2,2,,,,1,1,1,2,1,,,,,,,,,,1,1,2,1,1,1,,,,,2,,,2,1,2,,,,1,2,,2,2,2,2,,3,2,2,2,,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,0,4,4,4,4,1,1,1,2,1,0
"Kenya","KEN",149357095,1.36264901966978,1,19,2,3,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,1,2,2,1,2,2,,,,,,,1,1,2,1,2,,,2,1,2,,,,1,2,1,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,1,,1,0,4,4,4,4,2,5,1,1,1,0
"Kenya","KEN",174470096,1.11214374284222,1,45,2,5,1,2,1,1,1,,,1,1,2,2,2,1,2,,1,2,,1,2,1,,,,,,,,,,,,,,,,1,1,1,2,1,2,,1,1,1,3,3,,2,2,2,2,1,2,1,,4,2,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,2,4,4,4,4,5,1,1,1,1
"Kenya","KEN",164409873,0.378554450583961,2,19,2,4,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,1,2,2,1,2,2,,,,,,,2,1,2,2,2,,,2,2,1,2,1,,1,1,2,1,2,2,1,2,3,3,3,1,1,,,1,1,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,3,3,2,2,,1,1,2,4,4,4,4,1,1,1,1,0
"Kenya","KEN",122759340,0.773358219678535,1,23,1,3,1,1,1,1,1,2,2,1,2,,1,1,1,1,2,2,2,,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,2,,,2,1,2,,,,1,2,2,1,1,1,1,1,1,3,3,1,1,,,1,1,,,1,2,2,,,1,1,1,2,1,,,2,2,2,,,,,1,1,2,1,,,1,1,3,3,1,1,,1,1,1,4,4,1,2,1,1,2,1,0
"Kenya","KEN",138322259,1.01415532741147,2,52,2,3,1,1,1,1,1,1,2,2,,,1,1,1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,2,2,1,1,1,2,,1,1,1,1,2,,2,2,2,2,2,1,1,,5,2,1,1,2,1,1,2,,,,1,2,1,2,,,1,2,1,1,,,1,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,1,4,4,4,1,2,1,2,1,1
"Kenya","KEN",120167052,0.474721239011473,2,39,2,4,2,2,1,1,1,2,2,1,2,,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,,,1,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,2,2,1,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,4,2,,0,0,4,4,4,4,2,1,1,1,1,0
"Kenya","KEN",129224693,1.65888284439691,1,74,2,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,1,,2,,,,,,1,2,1,1,2,2,,0,1,4,2,4,4,4,5,1,2,0,0
"Kenya","KEN",168707359,1.66896918034501,2,20,1,1,2,1,1,0,1,,,2,,,,,,,,,,,,,,,1,2,2,2,2,1,2,1,,,,,,,2,1,1,2,2,,,2,2,2,,,,2,2,2,1,2,2,1,2,2,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,3,3,3,,2,,1,1,4,4,4,2,4,3,1,2,1,0
